_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,choose_path,choose_path:confidence,end,path_1,path_2,path_3,path_4,path_5,start
414407270,true,false,golden,16,"",-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,0.375,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407271,true,false,golden,22,"",-&gt;Cutting and clamp sleeve contact and method of connecting insulated -&gt;Terminal element for cable wires and drop wire cables -&gt;Slotted pate terminal for stranded wire -&gt;Terminal for cross connect apparatus -&gt;Transversely slotted barrel terminal -&gt;,0.4545,Process and catalyst for producing polyethylene having a broad molecular ,-&gt;Supported polymerization catalyst -&gt;,-&gt;Insulation displacement connector -&gt;Insulated terminal and module -&gt;Insulation displacing barrel terminal -&gt;Terminal for cross connect apparatus -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Insulation displacement connector -&gt;Insulated terminal and module -&gt;Insulation displacing barrel terminal -&gt;Insulated terminal and module -&gt;Terminal for cross connect apparatus -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Insulation displacement connector -&gt;Insulated terminal and module -&gt;Insulation displacing barrel terminal -&gt;Terminal for cross connect apparatus -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Cutting and clamp sleeve contact and method of connecting insulated -&gt;Terminal element for cable wires and drop wire cables -&gt;Slotted pate terminal for stranded wire -&gt;Terminal for cross connect apparatus -&gt;Transversely slotted barrel terminal -&gt;,Metallocenes and processes therefor and therewith 
414407272,true,false,golden,24,"",-&gt;Supported polymerization catalyst -&gt;New polymerization catalyst -&gt;,0.375,Light weight aggregate and method for making same ,"-&gt;Synthetic cover for waste piles -&gt;Disposal of waste ash -&gt;Fill, covering material and embedding material incorporating a hydraulic -&gt;Utilization of dry scrubber waste materials -&gt;",-&gt;Process for the preparation of an olefin polymer -&gt;Process for the preparation of polyolefins -&gt;,-&gt;Supported polymerization catalyst -&gt;New polymerization catalyst -&gt;,-&gt;Process for the preparation of an olefin polymer -&gt;Polypropylene wax and process for the production thereof -&gt;Process for the preparation of polyolefins -&gt;,"-&gt;Bridged, chiral metallocenes, processes for their preparation and their -&gt;Process for the preparation of polyolefins -&gt;",Process for treating waste materials with concentrated acid and the 
414407273,true,false,golden,20,"",-&gt;Synthetic cover for waste piles -&gt;Disposal of waste ash -&gt;Process for manufacturing aggregate from ash residue -&gt;Immobilization of lead and cadmium in fly ash -&gt;Method of making a building material -&gt;Utilization of dry scrubber waste materials -&gt;,0.3,Method for forming a narrow channel length MOS field effect transistor ,-&gt;ROM and process for producing the same -&gt;Programming power paths in an IC by combined depletion and enhancement -&gt;,-&gt;Synthetic cover for waste piles -&gt;Disposal of waste ash -&gt;Process for manufacturing aggregate from ash residue -&gt;Immobilization of lead and cadmium in fly ash -&gt;Method of making a building material -&gt;Utilization of dry scrubber waste materials -&gt;,-&gt;Synthetic cover for waste piles -&gt;Disposal of waste ash -&gt;Utilization of dry scrubber waste materials -&gt;,-&gt;Synthetic cover for waste piles -&gt;Utilization of dry scrubber waste materials -&gt;,-&gt;Synthetic cover for waste piles -&gt;Disposal of waste ash -&gt;Immobilization of lead and cadmium in fly ash -&gt;Method of making a building material -&gt;Utilization of dry scrubber waste materials -&gt;,Fabrication method for a semiconductor device on a semiconductor on 
414407274,true,false,golden,27,"",-&gt;Method of fabricating a SOI transistor with pocket implant and -&gt;Electrically programmable floating gate semiconductor memory device -&gt;Method of making high coupling ratio DMOS electrically programmable ROM -&gt;Photoresist masking in manufacture of semico,0.36,Synthetic Resins or Natural Rubbers  Part of the Class 520 Series,-&gt;Aqueous polyurethane dispersions from solvent-free prepolymers using -&gt;,-&gt;Method of fabricating complementary semiconductor device -&gt;High/low doping profile for twin well process -&gt;Process of making dual well CMOS semiconductor structure with aligned -&gt;Method of controlling MOSFET threshold voltage with self-aligned channel -,-&gt;Method of manufacturing a semiconductor device comprising a silicon body -&gt;Method of making a fast IGFET -&gt;Photoresist masking in manufacture of semiconductor device -&gt;,-&gt;Method of fabricating a SOI transistor with pocket implant and -&gt;Process for forming LDD MOS/CMOS structures -&gt;Method of making MOSFET by multiple implantations followed by a -&gt;,-&gt;Method of fabricating a SOI transistor with pocket implant and -&gt;Electrically programmable floating gate semiconductor memory device -&gt;Method of making high coupling ratio DMOS electrically programmable ROM -&gt;Photoresist masking in manufacture of semico,Aqueous polyurethane-ureas dispersions and their use for the production 
414407275,true,false,golden,22,"",-&gt;Spacer with integral zircaloy springs -&gt;Nuclear fuel assembly spacer and loop spring with enhanced flexibility -&gt;Nuclear fuel assembly spacer -&gt;Core and transition fuel assembly for a nuclear reactor -&gt;,0.3182,Wheel Substitutes for Land Vehicles,-&gt;Tensioner for belts -&gt;Self-contained type automatic belt tensioner -&gt;Tensioner for toothed drive belts -&gt;Tensioning device for belt or the like -&gt;,-&gt;Spacer with integral zircaloy springs -&gt;Nuclear fuel assembly spacer and loop spring with enhanced flexibility -&gt;Nuclear fuel assembly spacer -&gt;Core and transition fuel assembly for a nuclear reactor -&gt;,-&gt;Fuel assembly and upper tie plate thereof -&gt;Fuel assembly -&gt;Nuclear reactor core containing fuel assemblies positioned adjacent core -&gt;Core and transition fuel assembly for a nuclear reactor -&gt;,-&gt;Spacer with integral zircaloy springs -&gt;Composite spacer with inconel grid and zircaloy band -&gt;,-&gt;Spacer with integral zircaloy springs -&gt;Device for the spacing and holding in place of fuel rods in a fuel -&gt;,Tensioner with reduced rattling 
414407276,true,false,golden,16,"",-&gt;Tensioner for belts -&gt;Self-contained type automatic belt tensioner -&gt;Tensioning device for belt or the like -&gt;,0.375,Curable cycloaliphatic epoxy-polyimide compositions ,"-&gt;Cyanamide-cured maleimide/epoxy resin blend -&gt;Polyimide resin from bis-imide, polyphenol and dicyandiamide -&gt;Thermosetting prepolymer from polyfunctional maleimide and bis maleimide -&gt;",-&gt;Hermetically sealed autotensioner -&gt;Free piston type auto-tensioner -&gt;Tensioning device for belt or the like -&gt;,-&gt;Tensioner for belts -&gt;Self-contained type automatic belt tensioner -&gt;Tensioner for toothed drive belts -&gt;,-&gt;Tensioner for belts -&gt;Self-contained type automatic belt tensioner -&gt;Tensioning device for belt or the like -&gt;,-&gt;Tensioner for belts -&gt;Tensioner for toothed drive belts -&gt;Tensioning device for belt or the like -&gt;,"Heat resistant resin compositions, articles and method "
414407277,true,false,golden,17,"",-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Electrostatic image forming apparatus with charge controller -&gt;Method and means for determining a measu,0.3529,Electricity  Electrical Systems and Devices,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Electrostatic image forming apparatus with charge controller -&gt;Method and means for determining a measu,-&gt;Bismaleimide resin composition containing epoxy resin and a phenolic -&gt;Bis-maleimide-epoxy compositions and prepregs -&gt;Thermosetting prepolymer from polyfunctional maleimide and bis maleimide -&gt;,-&gt;Cyanamide-cured maleimide/epoxy resin blend -&gt;Bismaleimide resin composition containing epoxy resin and a phenolic -&gt;Bis-maleimide-epoxy compositions and prepregs -&gt;,"-&gt;Epoxy-polyimide blend for low temperature cure, high-performance resin -&gt;Bis-maleimide-epoxy compositions and prepregs -&gt;Thermosetting prepolymer from polyfunctional maleimide and bis maleimide -&gt;",-&gt;Cyanamide-cured maleimide/epoxy resin blend -&gt;Bismaleimide resin composition containing epoxy resin and a phenolic -&gt;Bis-maleimide-epoxy compositions and prepregs -&gt;Thermosetting prepolymer from polyfunctional maleimide and bis maleimide -&gt;,Image forming apparatus with automatic voltage control 
414407446,false,,finalized,5,2/15/2014 21:14:04,-&gt;Partially implantable hearing aid device -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Coupling to a bone-anchored hearing aid -&gt;Magnetic transcutaneous mount for external device of an associated -&gt;Surgery-&gt;,0.4,Surgery,-&gt;Partially implantable hearing aid device -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Magnetic transcutaneous mount for external device of an associated -&gt;,-&gt;Partially implantable hearing aid device -&gt;Implantable hearing aid and method of improving hearing -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Coupling to a bone-anchored hearing aid -&gt;Magnetic transcutaneous mount for external device of an associated -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Magnetic induction hearing aid -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;,Semi-implantable middle ear hearing device 
414407447,false,,finalized,5,2/15/2014 21:14:04,"-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Process of making semiconductors having shallow, hyperabrupt doped -&gt;Process for fabricating a bipolar transistor with a thin base and an -&gt;Selective epitaxy method using laser annealing for making filamentary -&gt;Growth-orientation of crystals by raster scanning electron beam -&gt;Plasma spraying process for preparing polycrystalline solar cells -&gt;",0.6,Coating Processes,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Profile control of boron implant -&gt;Method of making polysilicon resistors with a low thermal activation -&gt;Method of forming energy beam activated conductive regions between -&gt;Method for production of semiconductor devices -&gt;Selective epitaxy method using laser annealing for making filamentary -&gt;Growth-orientation of crystals by raster scanning electron beam -&gt;Plasma spraying process for preparing polycrystalline solar cells -&gt;,-&gt;Method for forming an oxide-filled trench in silicon carbide -&gt;Semiconductor device with silicon carbide-glass-silicon carbide -&gt;,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Profile control of boron implant -&gt;Method for fabricating complementary field effect transistor devices -&gt;Method of making very short channel length MNOS and MOS devices by -&gt;Process for producing an integrated multi-layer insulator memory cell -&gt;Process for fabricating insulated-gate field-effect transistors with -&gt;Utilizing multiple polycrystalline silicon masks for diffusion and -&gt;,-&gt;Process for the homoepitaxial growth of single-crystal silicon carbide -&gt;Method of preparing silicon carbide surfaces for crystal growth -&gt;Method for planarizing semiconductor substrates -&gt;Formation and planarization of silicon-on-insulator structures -&gt;Method for forming trench isolation structures -&gt;Method of making a trench isolated device -&gt;Method of defining contact openings in insulating layers on -&gt;Passivation of metallized semiconductor substrates -&gt;Utilizing multiple polycrystalline silicon masks for diffusion and -&gt;,"-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Process of making semiconductors having shallow, hyperabrupt doped -&gt;Process for fabricating a bipolar transistor with a thin base and an -&gt;Selective epitaxy method using laser annealing for making filamentary -&gt;Growth-orientation of crystals by raster scanning electron beam -&gt;Plasma spraying process for preparing polycrystalline solar cells -&gt;",Method for forming a p-n junction in silicon carbide 
