_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,choose_path,choose_path:confidence,end,path_1,path_2,path_3,path_4,path_5,start
414403527,false,,finalized,5,2/15/2014 21:09:13,-&gt;Partially implantable hearing aid device -&gt;Magnetic induction hearing aid -&gt;Surgery-&gt;,0.6,Surgery,-&gt;Partially implantable hearing aid device -&gt;Implantable hearing aid and method of improving hearing -&gt;,-&gt;Partially implantable hearing aid device -&gt;Magnetic induction hearing aid -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Magnetic transcutaneous mount for external device of an associated -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Magnetic induction hearing aid -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Magnetic transcutaneous mount for external device of an associated -&gt;Surgery-&gt;,-&gt;Partially implantable hearing aid device -&gt;Magnetic induction hearing aid -&gt;Implantable electromagnetic middle-ear bone-conduction hearing aid device -&gt;Coupling to a bone-anchored hearing aid -&gt;Magnetic transcutaneous mount for external device of an ass,Semi-implantable middle ear hearing device 
414403528,false,,finalized,5,2/15/2014 21:09:47,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Profile control of boron implant -&gt;M,0.6,Coating Processes,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Profile control of boron implant -&gt;M,-&gt;Process for the homoepitaxial growth of single-crystal silicon carbide -&gt;Method of preparing silicon carbide surfaces for crystal growth -&gt;Method for planarizing semiconductor substrates -&gt;Formation and planarization of silicon-on-insulator structures -,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Process of making semiconductors hav,-&gt;Method for recrystallization of preamorphized semiconductor surfaces -&gt;Formation of shallow junction by implantation of dopant into partially -&gt;Method for fabricating shallow junctions by preamorphizing with dopant -&gt;Profile control of boron implant -&gt;M,-&gt;Process for the homoepitaxial growth of single-crystal silicon carbide -&gt;Method of preparing silicon carbide surfaces for crystal growth -&gt;Method for planarizing semiconductor substrates -&gt;Formation and planarization of silicon-on-insulator structures -,Method for forming a p-n junction in silicon carbide 
414403529,false,,finalized,5,2/15/2014 21:10:21,"-&gt;Photopolymerizable positive working, peel developable, single sheet -&gt;Positive working naphthoquinone diazide color proofing transfer process -&gt;Radiation Imagery Chemistry Process Composition or Product Thereof-&gt;",0.4,Radiation Imagery Chemistry Process Composition or Product Thereof,"-&gt;Metal film imaging structure -&gt;Imaging process and article employing photolabile, blocked surfactant -&gt;",-&gt;Metal film imaging structure -&gt;,-&gt;Positive working naphthoquinone diazide color proofing transfer process -&gt;Radiation Imagery Chemistry Process Composition or Product Thereof-&gt;,"-&gt;Photopolymerizable positive working, peel developable, single sheet -&gt;Positive working naphthoquinone diazide color proofing transfer process -&gt;Radiation Imagery Chemistry Process Composition or Product Thereof-&gt;","-&gt;Photopolymerizable positive working, peel developable, single sheet -&gt;Negative working diazo color proofing method -&gt;Radiation Imagery Chemistry Process Composition or Product Thereof-&gt;",Partially translucent white film having a metallized surface 
414403530,false,,finalized,5,2/15/2014 21:42:44,-&gt;Method for forming a reusable and modifiable database interface object -&gt;Point and shoot interface for linking database records to spreadsheets -&gt;Apparatus for specifying a result relation in a relational database -&gt;Hyperedge entity-relationship data ba,0.4,Magnetic bubble domain relational data base system ,-&gt;Method for forming a reusable and modifiable database interface object -&gt;Point and shoot interface for linking database records to spreadsheets -&gt;Apparatus for specifying a result relation in a relational database -&gt;Hyperedge entity-relationship data ba,-&gt;Application independent (open) hypermedia enablement services -&gt;Garbage collector for hypermedia systems -&gt;Hyperedge entity-relationship data base systems -&gt;,-&gt;Operating system and data base having an access structure formed by a -&gt;Relational database system -&gt;,-&gt;Point and shoot interface for linking database records to spreadsheets -&gt;Apparatus for specifying a result relation in a relational database -&gt;Bubble domain relational data base system -&gt;,-&gt;System for interactively creating action bar pull-down windows of a user -&gt;Interactive construction of means for database maintenance -&gt;Hyperedge entity-relationship data base systems -&gt;,Reuseable and modifiable interface object 
414403531,false,,finalized,5,2/15/2014 21:38:28,-&gt;Encapsulated light source with coupled fiberguide -&gt;Optic adaptor junction -&gt;Couplers for electro-optical elements -&gt;,0.4,Radiant Energy,-&gt;Encapsulated light source with coupled fiberguide -&gt;Optic adaptor junction -&gt;Couplers for electro-optical elements -&gt;,-&gt;Encapsulated light source with coupled fiberguide -&gt;Optical device with a laser-to-fiber coupler -&gt;Couplers for electro-optical elements -&gt;,-&gt;Couplers for electro-optical elements -&gt;,-&gt;Encapsulated light source with coupled fiberguide -&gt;Couplers for electro-optical elements -&gt;,-&gt;Encapsulated light source with coupled fiberguide -&gt;Arrangement for coupling between an electrooptic device and an optical -&gt;Couplers for electro-optical elements -&gt;,Device for holding in position a transducer and an optical waveguide 
414403532,false,,finalized,5,2/15/2014 21:10:02,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Spine stabilization device and method -&gt;Vertebral body prosthesis and spine stabilizing method -&gt;Spinal fixator -&gt;Artificial intervertebral disc -&gt;,0.4,Prosthesis ie Artificial Body Members Parts Thereof or Aids and Accessories Therefor,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Spine stabilization device and method -&gt;Artificial intervertebral disc -&gt;Surgical implant and method for its production -&gt;,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Spine stabilization device and method -&gt;Vertebral body prosthesis and spine stabilizing method -&gt;Spinal fixator -&gt;Artificial intervertebral disc -&gt;,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Spine stabilization device and method -&gt;Intervertebral stabilization implant -&gt;Spinal fixator -&gt;Artificial intervertebral disc -&gt;,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Spine stabilization device and method -&gt;Spinal fixator -&gt;Artificial intervertebral disc -&gt;,-&gt;Surgical prosthetic implant facilitating vertebral interbody fusion -&gt;Artificial intervertebral disc -&gt;,Implantable spinal assist device 
414403533,false,,finalized,5,2/15/2014 21:10:52,-&gt;Method for increasing oxygen supply by administering vasodilator -&gt;Method for the oral treatment of dogs and other animals -&gt;Dosage form -&gt;,0.4,Drug BioAffecting and Body Treating Compositions,-&gt;Method for increasing oxygen supply by administering vasodilator -&gt;Transcutaneous application of nicotine -&gt;Slow-releasing medical preparation to be administered by adhering to a -&gt;Dosage form -&gt;,-&gt;Method for increasing oxygen supply by administering vasodilator -&gt;Ocular drug delivery device -&gt;Dosage form -&gt;,-&gt;Collagen wound healing matrices and process for their production -&gt;Moisture vapor permeable sheet materials -&gt;Sterile improved bandage containing a medicament -&gt;Dosage form -&gt;,-&gt;Method for increasing oxygen supply by administering vasodilator -&gt;Active compound release systems -&gt;Novel plasters -&gt;,-&gt;Method for increasing oxygen supply by administering vasodilator -&gt;Method for the oral treatment of dogs and other animals -&gt;Dosage form -&gt;,Biogenic implant for drug delivery and method 
414403534,false,,finalized,5,2/15/2014 21:10:02,-&gt;Method of chord in electronic musical instrument system -&gt;Harmony generator for electronic organ -&gt;Automatic chord control circuit for electronic musical instruments -&gt;,0.4,Music,-&gt;Technique for selecting a chord progression for a melody -&gt;Apparatus for producing a chord progression by connecting chord patterns -&gt;Harmony machine -&gt;Electronic musical instrument realizing automatic performance by -&gt;,-&gt;Method of chord in electronic musical instrument system -&gt;Auto-accompaniment apparatus with auto-chord progression of -&gt;Electronic musical instrument realizing automatic performance by -&gt;,-&gt;Electronic musical instrument realizing automatic performance by -&gt;,-&gt;Apparatus for producing a chord progression by connecting chord patterns -&gt;Harmony machine -&gt;Electronic musical instrument realizing automatic performance by -&gt;,-&gt;Method of chord in electronic musical instrument system -&gt;Harmony generator for electronic organ -&gt;Automatic chord control circuit for electronic musical instruments -&gt;,Automatic performance apparatus for storing chord progression suitable 
414403535,false,,finalized,5,2/15/2014 21:37:32,-&gt;Process for formation of shallow silicided junctions -&gt;Method of making MOS device using metal silicides or polysilicon for -&gt;Method of making dense complementary transistors -&gt;,0.4,Method for providing a metal silicide layer on a substrate ,-&gt;Method for the self-aligned silicide formation in IC fabrication -&gt;Method of making integrated circuits using metal silicide contacts -&gt;Passivation process and structure for self-alignment with the location -&gt;,-&gt;Method of fabricating semiconductor device -&gt;Method of depositing fully reacted titanium disilicide thin films -&gt;Conductivity WSi.sub.2 (tungsten silicide) films by Pt preanneal layering -&gt;,-&gt;Process for formation of shallow silicided junctions -&gt;Method of making MOS device using metal silicides or polysilicon for -&gt;Method of making dense complementary transistors -&gt;,-&gt;Process for formation of shallow silicided junctions -&gt;Fabrication of MOS integrated circuit devices -&gt;,-&gt;Process for formation of shallow silicided junctions -&gt;Method of improving film adhesion between metallic silicide and -&gt;Integrated semiconductor circuit structure and method for making it -&gt;,Method of manufacturing a semiconductor device 
414403536,false,,finalized,5,2/15/2014 21:40:56,-&gt;Process for injection molding a rapidly crystallizing polyethylene -&gt;Poly(alkyleneterephthalate) molding compositions containing oligomeric -&gt;Molding composition comprising a blend of poly(tetramethylene -&gt;Polyester alloys and molding compositions conta,0.4,Synthetic Resins or Natural Rubbers  Part of the Class 520 Series,-&gt;Process for injection molding a rapidly crystallizing polyethylene -&gt;Molding resins -&gt;,-&gt;Process for injection molding a rapidly crystallizing polyethylene -&gt;Poly(alkyleneterephthalate) molding compositions containing oligomeric -&gt;Molding composition comprising a blend of poly(tetramethylene -&gt;Polyester alloys and molding compositions conta,-&gt;Polyarylate compositions having improved hydrolytic stability -&gt;Polyarylate containing blends -&gt;Reinforced intercrystalline thermoplastic polyester compositions -&gt;,-&gt;Polyarylate compositions having improved hydrolytic stability -&gt;Polyarylate containing blends -&gt;Flame-retardant resin compositions -&gt;Polyester alloys and molding compositions containing the same -&gt;,-&gt;Polymer blends with improved hydrolytic stability -&gt;Reinforced intercrystalline thermoplastic polyester compositions -&gt;Polyester alloys and molding compositions containing the same -&gt;,Polyester compostions 
