_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,choose_path,choose_path:confidence,choose_path_gold,end,path_1,path_2,path_3,path_4,path_5,start
409669290,true,false,golden,159,"",-&gt;London-&gt;,0.9204,-&gt;London-&gt;,River_Thames,-&gt;London-&gt;,"-&gt;Fremont,_Iowa-&gt;1940_United_States_Census-&gt;",-&gt;Mississippi-&gt;Federal_preemption-&gt;,-&gt;NCSY-&gt;Orthodox_Judaism-&gt;,-&gt;Kevin_McDine-&gt;,Tommy_Hyslop
409669291,true,false,golden,152,"",-&gt;List_of_counties_in_Pennsylvania-&gt;Dutch_language-&gt;,0.6927,-&gt;List_of_counties_in_Pennsylvania-&gt;Dutch_language-&gt;,Renaissance,-&gt;Higher_education-&gt;Professorial_degree-&gt;,-&gt;USS_Texas_(BB-35)-&gt;Pearl_Harbor_(film)-&gt;,-&gt;List_of_counties_in_Pennsylvania-&gt;Dutch_language-&gt;,-&gt;Greece-&gt;Turkey-&gt;,-&gt;Greece-&gt;Ottoman_Empire-&gt;,"Mill_Hall,_Pennsylvania"
409669292,true,false,golden,157,"",-&gt;Burma-&gt;Constitution_of_Burma-&gt;,0.9689,-&gt;Burma-&gt;Constitution_of_Burma-&gt;,Administrative_divisions_of_Burma,-&gt;Burma-&gt;Constitution_of_Burma-&gt;,-&gt;Higher_education-&gt;Professorial_degree-&gt;,-&gt;Greece-&gt;Thrace-&gt;,"-&gt;Washington,_D.C.-&gt;Elizabeth,_New_Jersey-&gt;",-&gt;USS_Texas_(BB-35)-&gt;Pearl_Harbor_(film)-&gt;,Pakokku_Airport
409669293,true,false,golden,158,"",-&gt;United_States_federal_judge-&gt;Federal_government_of_the_United_States-&gt;,0.8529,-&gt;United_States_federal_judge-&gt;Federal_government_of_the_United_States-&gt;,Three-Fifths_Compromise,-&gt;Higher_education-&gt;Professorial_degree-&gt;,-&gt;Ministry_of_Railways_(India)-&gt;South_East_Central_Railway_zone-&gt;,-&gt;United_States_federal_judge-&gt;Federal_government_of_the_United_States-&gt;,-&gt;Greece-&gt;Turkey-&gt;,-&gt;Greece-&gt;Ottoman_Empire-&gt;,Sharion_Aycock
409669294,true,false,golden,149,"",-&gt;2008_Chinese_Super_League-&gt;2011_Chinese_Super_League-&gt;,0.5425,"-&gt;China_League_One-&gt;Henan_Jianye_F.C.-&gt;
-&gt;2008_Chinese_Super_League-&gt;2011_Chinese_Super_League-&gt;",Xiao_Zhi,-&gt;China_League_One-&gt;Henan_Jianye_F.C.-&gt;,-&gt;Higher_education-&gt;Professorial_degree-&gt;,-&gt;United_States_federal_judge-&gt;Federal_government_of_the_United_States-&gt;,-&gt;2008_Chinese_Super_League-&gt;2011_Chinese_Super_League-&gt;,-&gt;Bernardino_Machado-&gt;Portugal-&gt;,Yang_Lin_(footballer)
409669295,true,false,golden,141,"",-&gt;Bernardino_Machado-&gt;Portugal-&gt;,0.9688,-&gt;Bernardino_Machado-&gt;Portugal-&gt;,Protected_areas_of_Portugal,"-&gt;Junction_City,_Kansas-&gt;",-&gt;American_Bar_Association-&gt;Law_school_in_the_United_States-&gt;,-&gt;Higher_education-&gt;First_professional_degree-&gt;,-&gt;University_of_Silicon_Valley_Law_School-&gt;Law_school_in_the_United_States-&gt;,-&gt;Bernardino_Machado-&gt;Portugal-&gt;,Presidents_of_Portugal
409669296,true,false,golden,153,"",-&gt;Pink_Bubbles_Go_Ape-&gt;,0.8952,-&gt;Pink_Bubbles_Go_Ape-&gt;,Beautiful_Sin,-&gt;Higher_education-&gt;Professorial_degree-&gt;,-&gt;Pink_Bubbles_Go_Ape-&gt;,"-&gt;Ebetsu,_Hokkaido-&gt;","-&gt;Kita-ku,_Sapporo-&gt;","-&gt;Junction_City,_Kansas-&gt;",Number_One_(Helloween_song)
409669319,false,,finalized,5,2/7/2014 15:31:21,-&gt;Northern_Textile_and_Allied_Workers'_Union-&gt;,0.6434,,J_&_E_Wood,-&gt;Roberts_Loom-&gt;,-&gt;Weavers'_Triangle-&gt;,-&gt;Northern_Textile_and_Allied_Workers'_Union-&gt;,-&gt;List_of_mills_in_Derbyshire-&gt;,-&gt;F._W._Dixon_&_Son-&gt;,John_Hetherington_&_Sons
409669320,false,,finalized,5,2/7/2014 15:30:10,-&gt;Moonfleet-&gt;Patrick_Troughton-&gt;,0.4094,,Georgia_(U.S._state),-&gt;England-&gt;Escarpment-&gt;,-&gt;Moonfleet-&gt;Patrick_Troughton-&gt;,-&gt;England-&gt;Confederate_States_of_America-&gt;,-&gt;England-&gt;Northern_Mariana_Islands-&gt;,"-&gt;World_Heritage_Committee-&gt;Washington,_D.C.-&gt;",Palace_Green
409669321,false,,finalized,5,2/7/2014 15:04:00,-&gt;The_Washington_Post-&gt;Maryland-&gt;,0.7882,,Wye_Oak,-&gt;The_Washington_Post-&gt;Maryland-&gt;,"-&gt;Arlington_House,_The_Robert_E._Lee_Memorial-&gt;Star-Spangled_Banner_National_Historic_Trail-&gt;","-&gt;Arlington_House,_The_Robert_E._Lee_Memorial-&gt;Assateague_Island_National_Seashore-&gt;","-&gt;Arlington_House,_The_Robert_E._Lee_Memorial-&gt;Potomac_Heritage_Trail-&gt;","-&gt;Arlington_House,_The_Robert_E._Lee_Memorial-&gt;Captain_John_Smith_Chesapeake_National_Historic_Trail-&gt;",C._Gregory_Stapko
